;;;
RECEITA TRIBUTÁRIA ARRECADADA - 2019;;;
;;;
 Mês Movimento - Recolhimento;Grupo Receita;;Valor Recolhimento - SGR
JANEIRO;1;ICMS;2.769.038.439 
;2;IPVA;1.613.238.353 
;3;ITCMD;34.008.559 
;4;TAXAS;5.695.824 
;5;OUTROS;3.833.042 
FEVEREIRO;1;ICMS;2.410.250.201 
;2;IPVA;547.733.094 
;3;ITCMD;33.929.527 
;4;TAXAS;5.941.417 
;5;OUTROS;2.520.485 
MARÇO;1;ICMS;2.619.540.572 
;2;IPVA;522.880.199 
;3;ITCMD;34.451.835 
;4;TAXAS;5.421.528 
;5;OUTROS;4.686.835 
ABRIL;1;ICMS;2.576.229.041 
;2;IPVA;207.435.926 
;3;ITCMD;36.678.531 
;4;TAXAS;5.950.688 
;5;OUTROS;3.531.762 
MAIO;1;ICMS;2.551.842.139 
;2;IPVA;132.977.800 
;3;ITCMD;44.726.484 
;4;TAXAS;6.099.447 
;5;OUTROS;8.051.927 
JUNHO;1;ICMS;2.516.242.205 
;2;IPVA;96.308.709 
;3;ITCMD;39.509.332 
;4;TAXAS;5.015.080 
;5;OUTROS;4.501.209 
JULHO;1;ICMS;2.499.222.785 
;2;IPVA;110.053.834 
;3;ITCMD;54.107.509 
;4;TAXAS;6.233.971 
;5;OUTROS;8.788.273 
AGOSTO;1;ICMS;2.831.593.916 
;2;IPVA;105.907.663 
;3;ITCMD;45.572.511 
;4;TAXAS;6.088.815 
;5;OUTROS;41.828.921 
SETEMBRO;1;ICMS;2.650.335.659 
;2;IPVA;92.525.450 
;3;ITCMD;45.288.754 
;4;TAXAS;5.632.672 
;5;OUTROS;4.825.182 
OUTUBRO;1;ICMS;2.687.536.570 
;2;IPVA;89.245.916 
;3;ITCMD;51.032.439 
;4;TAXAS;5.898.585 
;5;OUTROS;34.215.663 
NOVEMBRO;1;ICMS;2.812.902.055 
;2;IPVA;74.925.335 
;3;ITCMD;51.323.334 
;4;TAXAS;5.390.833 
;5;OUTROS;4.732.943 
DEZEMBRO;1;ICMS;2.777.811.546 
;2;IPVA;85.442.075 
;3;ITCMD;70.090.845 
;4;TAXAS;4.702.137 
;5;OUTROS;7.403.728 
;;;
