RECEITA ARRECADADA - 2022;;;;
;;;;
Ano Mês Movimento - Recolhimento;;Grupo Receita;;Valor Recolhimento
JANEIRO;JAN/2022;1;ICMS;3.970.662.113
;;2;IPVA;1.942.592.716
;;3;ITCMD;67.239.192
;;4;TAXAS;6.291.104
;;5;OUTROS;4.562.246
FEVEREIRO;FEV/2022;1;ICMS;3.299.568.618
;;2;IPVA;649.273.011
;;3;ITCMD;68.301.431
;;4;TAXAS;6.320.066
;;5;OUTROS;6.898.177
MARÇO;MAR/2022;1;ICMS;3.599.195.656
;;2;IPVA;664.975.692
;;3;ITCMD;111.864.381
;;4;TAXAS;7.017.097
;;5;OUTROS;95.505.929
ABRIL;ABR/2022;1;ICMS;3.823.018.540
;;2;IPVA;574.688.277
;;3;ITCMD;71.529.055
;;4;TAXAS;6.030.652
;;5;OUTROS;8.442.561
MAIO;MAI/2022;1;ICMS;3.713.476.570
;;2;IPVA;561.834.175
;;3;ITCMD;97.434.701
;;4;TAXAS;6.999.025
;;5;OUTROS;28.724.052
JUNHO;JUN/2022;1;ICMS;3.498.274.454
;;2;IPVA;217.344.239
;;3;ITCMD;78.574.945
;;4;TAXAS;6.797.147
;;5;OUTROS;6.047.482
JULHO;JUL/2022;1;ICMS;3.875.667.706
;;2;IPVA;173.818.447
;;3;ITCMD;100.613.135
;;4;TAXAS;6.847.508
;;5;OUTROS;12.258.852
AGOSTO;AGO/2022;1;ICMS;3.432.748.343
;;2;IPVA;161.900.935
;;3;ITCMD;97.428.055
;;4;TAXAS;8.257.827
;;5;OUTROS;14.087.714
SETEMBRO;SET/2022;1;ICMS;3.721.927.376
;;2;IPVA;135.449.625
;;3;ITCMD;101.275.621
;;4;TAXAS;7.338.570
;;5;OUTROS;6.623.330
OUTUBRO;OUT/2022;1;ICMS;3.272.866.148
;;2;IPVA;120.411.359
;;3;ITCMD;82.458.618
;;4;TAXAS;6.843.672
;;5;OUTROS;7.334.623
NOVEMBRO;NOV/2022;1;ICMS;2.938.845.902
;;2;IPVA;116.016.983
;;3;ITCMD;84.271.784
;;4;TAXAS;6.548.679
;;5;OUTROS;5.034.800
DEZEMBRO;DEZ/2022;1;ICMS;50.026.917
;;2;IPVA;6.407.814
;;3;ITCMD;10.791.545
;;4;TAXAS;519.333
;;5;OUTROS;226.509
