Ano Mês Movimento - Recolhimento,Grupo de arrecadação,Valor Recolhimento
01-janeiro,ICMS,"R$ 3.406.117.678,00"
01-janeiro,IPVA,"R$ 2.304.153.378,00"
01-janeiro,ITCMD,"R$ 82.322.731,00"
01-janeiro,TAXAS,"R$ 7.528.096,00"
01-janeiro,OUTROS,"R$ 6.734.299,00"
02-fevereiro,ICMS,"R$ 2.886.419.946,00"
02-fevereiro,IPVA,"R$ 775.198.722,00"
02-fevereiro,ITCMD,"R$ 75.238.516,00"
02-fevereiro,TAXAS,"R$ 6.783.797,00"
02-fevereiro,OUTROS,"R$ 12.473.105,00"
03-março,ICMS,"R$ 3.315.378.805,00"
03-março,IPVA,"R$ 783.071.140,00"
03-março,ITCMD,"R$ 107.238.290,00"
03-março,TAXAS,"R$ 8.309.411,00"
03-março,OUTROS,"R$ 9.490.480,00"
04-abril,ICMS,"R$ 3.710.430.229,00"
04-abril,IPVA,"R$ 678.576.659,00"
04-abril,ITCMD,"R$ 81.100.634,00"
04-abril,TAXAS,"R$ 6.664.262,00"
04-abril,OUTROS,"R$ 3.932.463,00"
05-maio,ICMS,"R$ 3.625.227.456,00"
05-maio,IPVA,"R$ 678.321.138,00"
05-maio,ITCMD,"R$ 95.329.653,00"
05-maio,TAXAS,"R$ 8.147.118,00"
05-maio,OUTROS,"R$ 9.796.372,00"
06-junho,ICMS,"R$ 3.586.571.690,00"
06-junho,IPVA,"R$ 256.061.430,00"
06-junho,ITCMD,"R$ 99.088.816,00"
06-junho,TAXAS,"R$ 7.430.207,00"
06-junho,OUTROS,"R$ 7.517.544,00"
07-julho,ICMS,"R$ 3.624.320.782,00"
07-julho,IPVA,"R$ 210.411.349,00"
07-julho,ITCMD,"R$ 96.756.008,00"
07-julho,TAXAS,"R$ 7.850.634,00"
07-julho,OUTROS,"R$ 7.763.821,00"
08-agosto,ICMS,"R$ 3.969.702.148,00"
08-agosto,IPVA,"R$ 192.103.820,00"
08-agosto,ITCMD,"R$ 124.662.972,00"
08-agosto,TAXAS,"R$ 9.112.990,00"
08-agosto,OUTROS,"R$ 37.151.696,00"
09-setembro,ICMS,"R$ 4.090.229.633,00"
09-setembro,IPVA,"R$ 165.542.511,00"
09-setembro,ITCMD,"R$ 103.483.765,00"
09-setembro,TAXAS,"R$ 7.812.188,00"
09-setembro,OUTROS,"R$ 10.477.462,00"
10-outubro,ICMS,"R$ 3.927.419.224,00"
10-outubro,IPVA,"R$ 150.653.292,00"
10-outubro,ITCMD,"R$ 133.068.425,00"
10-outubro,TAXAS,"R$ 8.039.572,00"
10-outubro,OUTROS,"R$ 9.248.941,00"
11-novembro,ICMS,"R$ 4.061.344.724,00"
11-novembro,IPVA,"R$ 134.186.889,00"
11-novembro,ITCMD,"R$ 118.547.063,00"
11-novembro,TAXAS,"R$ 7.628.755,00"
11-novembro,OUTROS,"R$ 5.962.834,00"
12-dezembro,ICMS,"R$ 4.678.492.104,00"
12-dezembro,IPVA,"R$ 161.483.017,00"
12-dezembro,ITCMD,"R$ 168.850.192,00"
12-dezembro,TAXAS,"R$ 4.803.986,00"
12-dezembro,OUTROS,"R$ 16.170.907,00"
