Ano Mês Movimento - Recolhimento;;Grupo Receita;;Valor Recolhimento
JANEIRO;JAN/2024;1;ICMS;4.238.859.495 
;;2;IPVA;2.547.081.715 
;;3;ITCMD;85.383.923 
;;4;TAXAS;6.249.598 
;;5;OUTROS;10.126.285 
FEVEREIRO;FEV/2024;1;ICMS;3.776.622.419 
;;2;IPVA;796.702.361 
;;3;ITCMD;91.409.329 
;;4;TAXAS;6.133.687 
;;5;OUTROS;7.100.149 
MARÇO;MAR/2024;1;ICMS;4.042.730.589 
;;2;IPVA;726.646.855 
;;3;ITCMD;113.399.267 
;;4;TAXAS;6.038.609 
;;5;OUTROS;7.900.672 
ABRIL;ABR/2024;1;ICMS;4.307.251.500 
;;2;IPVA;735.491.769 
;;3;ITCMD;122.609.831 
;;4;TAXAS;6.964.526 
;;5;OUTROS;7.736.236 
MAIO;MAI/2024;1;ICMS;4.063.171.561 
;;2;IPVA;938.874.248 
;;3;ITCMD;104.702.457 
;;4;TAXAS;6.497.731 
;;5;OUTROS;9.134.815 
JUNHO;JUN/2024;1;ICMS;4.119.580.946 
;;2;IPVA;335.630.781 
;;3;ITCMD;106.535.150 
;;4;TAXAS;6.214.207 
;;5;OUTROS;8.658.701 
JULHO;JUL/2024;1;ICMS;4.460.843.053 
;;2;IPVA;238.199.614 
;;3;ITCMD;115.730.785 
;;4;TAXAS;7.199.146 
;;5;OUTROS;11.204.266 
AGOSTO;AGO/2024;1;ICMS;4.622.877.280 
;;2;IPVA;197.028.542 
;;3;ITCMD;120.332.337 
;;4;TAXAS;7.438.105 
;;5;OUTROS;19.032.774 
SETEMBRO;SET/2024;1;ICMS;4.497.077.986 
;;2;IPVA;181.611.386 
;;3;ITCMD;135.499.932 
;;4;TAXAS;7.050.170 
;;5;OUTROS;16.974.668 
OUTUBRO;OUT/2024;1;ICMS;4.472.562.816 
;;2;IPVA;176.054.228 
;;3;ITCMD;151.650.965 
;;4;TAXAS;7.157.281 
;;5;OUTROS;10.730.976 
NOVEMBRO;NOV/2024;1;ICMS;4.649.236.376 
;;2;IPVA;152.649.121 
;;3;ITCMD;144.847.367 
;;4;TAXAS;6.165.994 
;;5;OUTROS;11.648.309 
DEZEMBRO;DEZ/2024;1;ICMS;270.185.412 
;;2;IPVA;3.420.574 
;;3;ITCMD;23.361.039 
;;4;TAXAS;969.960 
;;5;OUTROS;1.891.068 
