Ano Mês Movimento - Recolhimento,Grupo de arrecadação,Valor Recolhimento
01-janeiro,ICMS,"R$ 4.238.859.495,00"
01-janeiro,IPVA,"R$ 2.547.081.715,00"
01-janeiro,ITCMD,"R$ 85.383.923,00"
01-janeiro,TAXAS,"R$ 6.249.598,00"
01-janeiro,OUTROS,"R$ 10.126.285,00"
02-fevereiro,ICMS,"R$ 3.776.622.419,00"
02-fevereiro,IPVA,"R$ 796.702.361,00"
02-fevereiro,ITCMD,"R$ 91.409.329,00"
02-fevereiro,TAXAS,"R$ 6.133.687,00"
02-fevereiro,OUTROS,"R$ 7.100.149,00"
03-março,ICMS,"R$ 4.042.730.589,00"
03-março,IPVA,"R$ 726.646.855,00"
03-março,ITCMD,"R$ 113.399.267,00"
03-março,TAXAS,"R$ 6.038.609,00"
03-março,OUTROS,"R$ 7.900.672,00"
04-abril,ICMS,"R$ 4.307.251.500,00"
04-abril,IPVA,"R$ 735.491.769,00"
04-abril,ITCMD,"R$ 122.609.831,00"
04-abril,TAXAS,"R$ 6.964.526,00"
04-abril,OUTROS,"R$ 7.736.236,00"
05-maio,ICMS,"R$ 4.063.171.561,00"
05-maio,IPVA,"R$ 938.874.248,00"
05-maio,ITCMD,"R$ 104.702.457,00"
05-maio,TAXAS,"R$ 6.497.731,00"
05-maio,OUTROS,"R$ 9.134.815,00"
06-junho,ICMS,"R$ 4.119.580.946,00"
06-junho,IPVA,"R$ 335.630.781,00"
06-junho,ITCMD,"R$ 106.535.150,00"
06-junho,TAXAS,"R$ 6.214.207,00"
06-junho,OUTROS,"R$ 8.658.701,00"
07-julho,ICMS,"R$ 4.460.843.053,00"
07-julho,IPVA,"R$ 238.199.614,00"
07-julho,ITCMD,"R$ 115.730.785,00"
07-julho,TAXAS,"R$ 7.199.146,00"
07-julho,OUTROS,"R$ 11.204.266,00"
08-agosto,ICMS,"R$ 4.622.877.280,00"
08-agosto,IPVA,"R$ 197.028.542,00"
08-agosto,ITCMD,"R$ 120.332.337,00"
08-agosto,TAXAS,"R$ 7.438.105,00"
08-agosto,OUTROS,"R$ 19.032.774,00"
09-setembro,ICMS,"R$ 4.497.077.986,00"
09-setembro,IPVA,"R$ 181.611.386,00"
09-setembro,ITCMD,"R$ 135.499.932,00"
09-setembro,TAXAS,"R$ 7.050.170,00"
09-setembro,OUTROS,"R$ 16.974.668,00"
10-outubro,ICMS,"R$ 4.472.562.816,00"
10-outubro,IPVA,"R$ 176.054.228,00"
10-outubro,ITCMD,"R$ 151.650.965,00"
10-outubro,TAXAS,"R$ 7.157.281,00"
10-outubro,OUTROS,"R$ 10.730.976,00"
11-novembro,ICMS,"R$ 4.649.236.376,00"
11-novembro,IPVA,"R$ 152.649.121,00"
11-novembro,ITCMD,"R$ 144.847.367,00"
11-novembro,TAXAS,"R$ 6.165.994,00"
11-novembro,OUTROS,"R$ 11.648.309,00"
12-dezembro,ICMS,"R$ 270.185.412,00"
12-dezembro,IPVA,"R$ 3.420.574,00"
12-dezembro,ITCMD,"R$ 23.361.039,00"
12-dezembro,TAXAS,"R$ 969.960,00"
12-dezembro,OUTROS,"R$ 1.891.068,00"
